able transportar
expectation expectativa
eyes encanto
gospel bautizar
heresy embargo
occasions fama
ignorance callar
realm excelencia
arts magia
devices nulo
partiality prejuicio
forefront cabeza
message recado
words habla
parable despedida
salutation saludo
superscription inscripción
treatise relato
scripture justificar
psalm revelación
numbering censo
declaration declaración
covenant recitar
acceptation aceptación
greeting dispersión
hi espeso
tidings ángel
advice estrategia
oath jurar
swearing advertencia
preaching proclamación
derision ridículo
proclamation exceptuar
accusation acusación
tale suspiro
peace encaminar
forerunner sacerdote
ague fiebre
roman romano
he enriquecer
heth cueva
nun distribuir
ut señor
re medir
la norte
si celebrar
hymn cantar
utterance comunicar
clamour junto
hosanna palmera
devil nacionalidad
communion comunión
exhortation iniciativa
saying afirmar
slang bolsa
commandment reglamento
assent llamar
concord armonía
dissension discusión
controversy misterio
importunity insistencia
thanksgiving proclamar
yes supuesto
yea lumbre
nay avance
boasting progreso
damnation compromiso
oration tribunal
sceptre gobernar
miracle milagro
affliction multiplicar
calvary calavera
growth tardío
desolation ruina
adversity congoja
uproar turba
pulse beber
lightning cauce
occasion obstáculo
earthquake delicado
victory lágrima
zeal satisfacción
appetite cuchillo
pining tejido
painfulness frío
agony sudor
tranquillity consejo
madness malo
joyfulness potencia
mirth elogio
belonging relativo
sadness enmienda
woe ciclo
misery proceder
guilt lástima
hatred aclarar
despising autor
enmity asesino
ruth adquirir
victuals cobrar
nourishment crecimiento
provender paja
dinner invitado
supper oportuno
broth canasta
organs danza
venison equipo
eater germinar
corn época
mulberry consultar
pomegranate hilo
barley cuota
herb vegetación
hyssop vaca
vinegar inclinado
kingdom disperso
tribe tipo
family clan
colony colonia
empire inmenso
maker talla
genealogy registro
estate decreto
commonwealth promesa
army radiante
men grupo
followers ejemplo
city pertenecer
village marta
league alianza
year cultivar
council investigar
posterity contacto
woman imperio
mover plaga
there ágil
heavens fulgor
principality principado
heaven cielo
perdition indicio
midst albañil
parts leve
province provincia
wilderness cruel
wherefore derrota
why fracaso
coal carbón
dregs gota
lees vaso
crag peña
hills paralelo
dale derrotar
isle habitante
sky celeste
cloud rayo
sun predicción
fen oeste
creek posible
necessity constancia
christ aldea
angel vista
cherub rueda
inhabitant zona
traveller viajero
boy niño
accused dichoso
friend amante
adversary firma
ambassador embajador
archer tirador
aunt tía
baker favorable
beggar sentar
worshipper temeroso
taker compra
extortioner acreedor
bride novio
builder arquitecto
busybody ladrón
centurion piloto
child joven
workfellow colaborador
gatherer profeta
standard-bearer bosque
sharper eficaz
cousin sexto
creditor préstamo
pastor traer
steward servidor
wench criada
daughter muchacha
girl niña
debtor deudor
potentate debido
disciple renuncia
physician médico
traitor traidor
duke línea
evangelist ministerio
husbandman ocupación
soothsayer espada
foreigner extranjero
founder hombre
fresher adolescencia
grandmother abuela
churl enredar
handmaid regalo
hearer espejo
infidel peor
heir universo
inheritor heredero
householder contratar
hypocrite hipócrita
idolater herencia
firebrand leño
jezebel estiércol
jonah pez
magistrate magistrado
kinswoman pariente
lama hora
lawyer intérprete
scholar alumno
liar ambición
lord distante
nobleman lejano
maid concebir
merchant comerciante
mistress dueña
oppressor quebrado
owner alquiler
possessor creador
prince inspector
prophet montar
prophetess cometer
proselyte propuesta
repairer generación
seller recuperar
servant presente
singer director
sir hondo
sluggard estación
sojourner huésped
son muchacho
sorceress bruja
sower sembrar
spouse novia
stranger desconocido
instructor maestro
testator testamento
thief determinar
warrior calzado
waster herramienta
lifter escudo
wife nieto
hemlock vano
juniper arbusto
myrtle recorrido
wormwood amargo
things incertidumbre
acres viña
money consiguiente
plantation denso
dominion dominio
lucre amable
taxation imponer
patrimony familiar
dowry interés
riches abundancia
shekels carro
debt deuda
laying instrumento
are asir
g puñado
at horma
shekel contribuir
bel bandera
t efecto
nothing disminuir
nought deshacer
thou colección
tittle fácil
slew cometido
heaps tercero
friendship amistad
babel dicha
cleanness diente
licence acusado
weariness estudio
sickness frustración
leprosy indicar
carbuncle jardín
wasting sangre
childhood lleno
fame grandeza
renown esplendor
ignominy vergüenza
reign establecimiento
health rapidez
nakedness descubrir
prosperity felicidad
day ignorancia
filth desdén
filthiness caliente
uncleanness normal
jeopardy lago
leather cintura
stubble recoger
galbanum uña
benjamin bailar
bdellium resina
agar actual
onyx sello
hours gritar
hereafter intervención
week proporción
days anciano
years vejez
tomorrow rumbo
today altar
morrow administrar
eve atardecer
noonday existencia
noontide alarma
evening noche
eventide anochecer
month investigación
s artículo
while turno
birthday cumpleaños
